"","message","likes_count","comments_count","shares_count"
"681","9pm: galway city roads update: 

the promenade in salthill remains closed both ways until further notice between grattan rd and the golf course and gardai are warning people to stay away from the salthill area as conditions are extremely treacherous & flooding is likely. 

there is surface water on numerous roads in the claddagh as well as fr. griffin rd at the spanish arch and the dock rd and road users should avoid these routes where possible.

the coast rd (r338) is passable again between oranmore and the city however it is likely to flood again so motorists should drive with extreme care.",76,9,21
"682","the latest on road closures from galway county council
#ophelia-",188,46,193
"683","the aftermath of #ophelia in salthill (video: enda cunningham)",231,50,187
"684","toft carpark in salthill under water this evening (video: rossa meade)
#ophelia",251,166,549
"685","the sea flowing onto salthill promenade (video: paul obrien)",153,37,150
"686","flooding at the claddagh (video: joe carroll)
#ophelia",265,137,313
"687","flooding at toft park in salthill (video: carol barros)",287,213,436
"688","flooding at spanish arch 
#ophelia
(video: danica gutierrez)",333,242,312
"689","flooding at toft carpark in salthill (beside the aquarium) (video: caroline barros)",54,20,39
"690","barna pier at the moment.",81,22,56
"691","2:15pm: county galway trees on roads:

l-7424  deerpark tree down, road closed
l3107 1 mile from monivea on athenry road. tree down, road closed
r347 glenamaddy side of buibheanach bridge. tree partly blocking lane. passable.
r347 near castle ellen house. tree down, road closed.
r348 eskerroe. trees down, road closed
l-8408 carrowmore. tree leaning on esb wires. passable.
r348 athenry to derrydonnell. tree down. road closed.
l-7268 drinaun. tree down, road closed",177,85,221
"692","things are really beginning to pick up at galway harbour (video, captain brian sheridan, harbour master).",259,88,166
"693","preparations being finalised in salthill ahead of the brunt of #ophelia",279,44,99
"694","please stay away from coastal areas. the council has asked people to stay off salthill prom from 11am when it will be closed to traffic. emergency services will have enough to deal with without having to rescue people taking photos.",275,20,42
"695","businesses in salthill prepared for the worst later day. #ophelia",97,21,35
"697","#ophelia update from met ireann",338,167,497
"699","the reaction in athenry after the commercial court's decision in apple's favour. (video: joe o'shaughnessy)",530,47,90
"701","macnas ceo noeline kavanagh talks about the forthcoming parade at the macnas headquarters in the fisheries field. yvette picque, barra convery and caroline okwonko bring colourful parade characters to life in the the latin quarter galway. they are graduates of the macnas young ensemble troupe, and will take part in this years halloween , macnas parade, galway 2017 - port na bpca (song of the spirits), on sunday october 29 starting from nui galway at 5.30pm. the following day the parade will close the bram stoker festival, dublin. (video: joe o'shaughnessy)",90,7,91
"705","the man whose body was found washed up on a beach on inis mein has been identified as a man who fell into the sea in co. clare a fortnight ago.",39,20,3
"706","free competition in this week's connacht tribune - 
win a 2 night break for two in the 4-star fitzpatrick castle hotel, killiney, co. dublin.
entry form only in this thursday's connacht tribune.",10,1,2
"708","the medieval tournament in claregalway castle this weekend. (video: joe o'shaughnessy)",61,8,55
"709","why the long faces? all the colour from the ballinasloe horse fair today (video: joe o'shaughnessy)",600,164,392
"712","jaw breakers ... fuel storage tanks at galway docks being torn down today (video: joe o'shaughnessy).",224,63,71
"713","actor sean mcginley back at the druid theatre company where he took time out from rehearsals for cast and crew photographs. he plays scober macadam in the druid production of 'king of the castle' by eugene mccabe. sean, an integral company member since druid's foundation, talks about the theatre, galway and 'king of the castle'. it runs from friday night until october 7 in the town hall theatre galway. (video: joe o'shaughnessy)",25,3,14
"715","a special meeting will be held this friday in a bid to overturn a decision by the county council to maintain the local property tax at the same rate as last year.",12,10,2
"716","eyre square earthquake ... a digital animation produced by oxfam ireland to give people a greater perspective and appreciation of what millions of people around the world are facing today.",75,36,34
"717","an organisation that provides aid for men suffering from domestic abuse is introducing a monthly outreach clinic in galway city.",179,11,40
"718","gas networks ireland has announced that galway city, oranmore, salthill and claregalway are safe to resume using gas.",30,9,7
"720","mouth cancer awareness day
wednesday,  20 september
mouth cancer is an important global healthcare problem. there are more than 300 cases of cancer of the mouth (oral cavity and pharynx) reported in ireland every year. these cancers are more common in men than in women. however this is changing.

the incidence rate of cancer of the mouth in women has increased significantly at a rate of 3% per year since 1994. it mainly affects older people although younger people are being diagnosed now. in britain, the incidence of mouth cancer has increased faster than any other cancer in the past 25 years.

according to the national cancer registry in ireland, roughly half of all mouth cancers and even less of cancers of the pharynx are diagnosed at an early stage.

this can result in more complex treatment with greater impact on quality of life and overall survival. whilst it depends on the cancer site we know that more than half of those treated will have good survival outcomes and this continues to improve each year.

early detection of mouth cancer greatly improves the chances of survival.

dentists have a key role to play in the early detection of mouth cancer and in the prevention of the disease by identifying those patients who are exposed to risk factors.

mouth cancer awareness day is wednesday, 20 september 2017

please consult your dentist during your routine dental visit about a mouth cancer examination - taking 10 minutes that could save your life.",19,1,14
"721","a motorist had a lucky escape this evening after his car ploughed through railings into the eglinton canal. he was uninjured.",228,173,108
"724","a colourful sunset over salthill this evening (photo: cathy gill)",269,6,19
"725","it's a wild night for walking salthill prom ... gusts of up to 110km/h are forecast to continue overnight, with very heavy rainfall. (video: enda cunningham)",572,218,276
"726","braving the wind and rain (but there was some sunshine too!) at today's annual galway memorial walk in aid of galway hospice. and the liam mccarthy and irish press cups also made an appearance! (video: joe o'shaughnessy)",504,34,62
"727","people in need of orthodontic care in county galway can wait as long as three-and-a-half years before receiving treatment.",19,10,4
"728","a business representative group from tuam is to meet with senior galway county council officials next week in an effort to reignite economic development in the town.",92,5,5
"729","the annual galway zombie walk from eyre square to the spanish arch in aid of jigsaw galway. 
jigsaw galway is a free, non-judgemental and confidential support service for young people (15-25) living in galway city and county. they provide guidance and support for young people who are going through a difficult or distressing time. they also provide advice and guidance for anyone concerned about a young person in their life or work. (video: joe o'shaughnessy)",226,50,57
"730","this years christmas market will repeat the 2016 changed layout  off the grass in eyre square  after the tender was awarded to the same operator as the past six years.",309,61,17
"737"," homecoming  the senior hurlers' dance moves on stage made it all worthwhile for the 30,000+ supporters who came to pearse stadium last night to join in the all-ireland celebrations!! well done to everyone who came out to support the two teams. (video: joe o'shaughnessy)",2409,223,855
"738"," the all-ireland winning galway teams take the stage in front of thousands of supporters in pearse stadium tonight. (video: enda cunningham) ",1430,40,530
"739","the galway minors homecoming in pearse stadium",313,7,48
"740","there's no show like a joe show! ",297,1,27
"742"," galway, all-ireland minor and senior hurling champs 2017  the reaction in eyre square at the final whistle.",1674,193,511
"743","standing ovation in eyre square for the late, great tony keady in the 6th minute.",315,7,37
"744"," thousands of supporters gathered in eyre square for the all-ireland final",1258,36,294
"745","countdown to glory ...",141,1,42
"746","our date with destiny ...",310,5,94
"747","croker looking in fantastic shape this morning.",90,1,4
"748"," melvin and fergal smith, philip coleman and aidan ferguson are making their way from ballygar to croker. ",521,10,18
"749"," 3-year-old mason from portumna is a huge galway fan!",145,8,9
"750","anxious ... bella in christchurch, new zealand waiting for the big game. (photo: corinne mullins)",90,2,5
"751","safe travelling to everyone heading to croker in the morning!
 #gaillimhabu",1023,39,319
"752"," all set ... colm seoighe, connemara, with blthn and ninn ",416,16,35
"753","any spare tickets? (photo: louise treacy)",185,14,13
"754","gerry moloney, monivea, doing his bit for the tribesmen (photo: carole rabbitte)",164,9,12
"755","street party on mainguard street on thursday for the latin quarter galway minor and senior hurlers' road to glory. (video: joe o'shaughnessy)
tribesmen gaa",461,27,140
"759","don't miss this week's tribune for your souvenir 32-page all-ireland final supplement, with previews of the seniors and minors; extensive pen pictures of all galway players; interviews with management and the waterford camp; neutral analysis from davy fitz, and much more.",69,4,24
"760","bermuda calling .... the p&o cruise ship 'oriana' waiting for the tide at mutton island this morning. it has a capacity for 1928 passengers and 794 crew. pic: d. mcguire",108,4,9
"761","there were record numbers of rough sleepers on the citys streets this summer, fresh figures from a local homeless charity confirm. some 85 rough sleepers were in contact with cope galway homeless services this july.",41,22,9
"762","plans for significant expansion works at the connemara hostel at killary  including new bedrooms with grass roofs and glamping facilities  have been lodged with galway county council.",40,0,6
"764","so where is open in galway this evening? just a quick check on middle street, via mara restaurant is open from 6pm with food to warm the heart and the tummy, also milano and the dil, and around the corner, pints available at the bunch of grapes and neachtans. anywhere else?",48,25,7
"765","the beauty of the beast! barna woods earlier. stay warm and safe everyone, theres more on the way.",93,4,7
"766","fair play to the corofin boys, into another all ireland senior club final, with a 1 - 6 to 0 - 6 over moorefield this afternoon. congratulations lads, best of luck in the final!",22,0,0
"767","its another frosty one this morning in galway. you may need to allow a couple of minutes to clear that windscreen if youre planning to drive. looks set for a bright sunny day though. have a great day!",26,2,2
"768","another great win for galway over mayo this afternoon in the allianz football league. it ended galway 1 13, mayo 0 11 at pearse stadium. congratulations lads, thats three wins out of three in the league so far for galway.",124,12,3
"769","great effort by liam mellows this afternoon but they were beaten by cuala 1 17 to 0 11 in the all ireland club senior hurling semifinal in thurles. great year for the liam mellows club, well done lads!",43,3,1
"770","gorgeous morning over the river corrib captured recently by samus o'donoghue photography.",56,2,5
"771","the lights are on but nobody's home. glenlo abbey hotel looking gorgeous at night snapped recently by nathan wynne.",86,4,4
"772","silverstrand captured recently by martin o grady.",80,3,5
"773","sunset at blackrock. photo thanks to martin o grady.",41,0,8
"774","good morning and happy galway independent day! photo: cathy gill.",87,2,12
"775","rainbow at silverstrand snapped recently by martin o grady.",30,0,3
"776","talented local artist aisling kearney from beechmount art studio in turloughmore has created this stunning painting to mark galways all ireland victory.",102,2,13
"777","hermitage green are playing a free gig in sult nui galway tomorrow (wednesday 6 september). this is for the students of nui galway. tickets will be available from the bar this afternoon. terms and conditions do apply and full information is on the sult facebook page.",6,0,0
"778","the galway teams visiting crumlin children's hospital yesterday.",110,4,0
"779","the celebrations will continue this evening when all-ireland winning galway captain david burke brings the liam maccarthy come back to his home club and minor player darren morrissey takes the irish press cup home to sarsfields.  ",71,0,0
"780","a massive crowd turned out to welcome home our hurling heroes last night. photo: boyd challenger.",61,0,8
"781","an independent city councillor has called on the local authority to revise and improve their policy in relation to communicating with the public.",0,1,0
"782","were you in pearse stadium last night to welcome home our all ireland champs?  #gaillimhabu thanks to samus o'donoghue photography for sending this our way.",24,0,6
"783","good morning galway! photo: johanna n mhille.",43,1,3
"784","autumn in galway  photo: martin o grady.",31,0,2
"785","this was the crowd over an hour ago. up galway!",24,3,0
"786","the west is truly awake tonight! the galway team are making their way into pearse stadium where they will get a rapturous reception. #upgalway",14,0,0
"787","the teams are hoping to be in pearse stadium by 7pm. traffic is very heavy across the city at the moment.",15,3,1
"788","amazing crowd turned out to watch the match in eyre square yesterday. crowds in their thousands turned out in ballinasloe to welcome home our winning heroes. they are about to leave ballinasloe and make their way to pearse stadium where an even bigger crowd is expected.",50,3,0
"789","the minor and senior teams will be leaving ballinasloe in the next 10 minutes to make their way to pearse stadium.",21,4,3
"790","nui galway today announced that professor ciarn  hgartaigh has been appointed the 13th president of the university with effect from january 2018.",27,3,2
"791","up galway! pictured is bunty, a big galway fan who is a staff member of railway veterinary clinic loughrea and is owned by vet nurse edel callanan.",68,5,15
"792","alf stewart from home and away is celebrating galway's win!! #gaillimhabu",779,42,0
"793","one of galways biggest supporters! thanks to nancy parker for sending this in.",32,1,3
"794","galway manager michel donoghue celebrates with his sons niall, cathal and cian after the gaa hurling all-ireland senior championship final match between galway and waterford at croke park in dublin. photo by brendan moran/sportsfile",794,7,18
"795","homecoming timetable: 
ballinasloe for civic reception for 3pm
then straight to pearse stadium for 6:30pm",13,1,7
"796","one of the most touching moments of the whole day. margaret keady, wife of the late tony keady with the liam maccarthy cup. pictured with her are galway captain, david burke, left, and joe canning after the gaa hurling all-ireland senior championship final match between galway and waterford at croke park in dublin. photo by ray mcmanus/sportsfile",607,10,19
"797","let's take a minute to thank this man. galway manager michel donoghue after the gaa hurling all-ireland senior championship final match between galway and waterford at croke park in dublin. photo by seb daly/sportsfile",287,6,20
"798","where were you when galway won the 2017 all ireland hurling final? electric atmosphere in eyre square yesterday - a day that will live long in the memory #gaillimhabu",25,1,5
"799","joe canning and his nephew jack canning of the galway minor team celebrate their respective all-ireland victories following the gaa hurling all-ireland senior championship final match between galway and waterford at croke park in dublin. photo by stephen mccarthy/sportsfile",256,5,14
"800","good morning galway  another week beckons! thanks to tracy morris photography for sending this pic our way.",23,0,0
"801","garda at galway are seeking the public's help in tracing the whereabouts of 16-year-old luke adams, who is missing since last friday.",15,5,52
"802","there are no monday blues in galway today! liam maccarthy is heading west.",233,1,26
"803","man of the match goes to david burke galway's captain. fantastic achievement for him.",126,7,3
"804","the sunday game hurler of the year is galway's number 6 gearoid mcinerney. he had a fantastic season for galway. congrats gearoid.",231,2,4
"805","this is a special day for the families and friends of all the players. pictured are joe canning's parents beaming after galway's glorious win.",2918,98,141
"806","the new turbines at cloosh valley near oughterard in co. galway. photo courtesy of mark white.",8,1,2
"808","joe canning celebrates with former galway hurler john connolly. photo: sportsfile",1484,39,183
"809","let the celebrations begin. photo: sportfile",35,1,1
"810","we will never tire of this photo. galway's captain david burke lifts the liam mccarthy cup.",1696,47,390
"812","a special moment. unforgettable.",27,1,5
"813","we are all ireland champions at last. this is an emotional time for every galway person everywhere. #gaillimhabu",179,0,15
"814","no. 1 monalee heights, ballymoneen road, knocknacarra has come on the market.",3,0,0
"815","half time: galway 0-14 waterford 2-7. galway lead by one. what a great game so far but so so close. #gaillimhabu",0,0,3
"816","wonderful tribute to the late tony keady with a massive applause across croke park on the sixth minute.",131,1,0
"817","absolutely fantastic start by galway. #upgalway",6,0,0
"818","here we go! very best of luck to the galway team. go do it! #gaillimhabu",22,0,2
"819","beauty expert caroline bourke gives her advice on achieving the no make-up look.",0,0,0
"820","the late great hurler tony keady would have been in croke park today willing on the galway team. his sudden passing was a shock to everyone in galway hurling and beyond. today, we take a moment to remember him. photo: ray mcmanus/ sportsfile",154,1,3
"821","memorials of passchendaele is the focus of this weeks talking history column.",2,0,0
"822","good morning galway. an old cottage in connemara snapped recently by martin o grady.",16,0,2
"823","there is only thing on the minds of all galway supporters today. best of luck to the minors and seniors in the all ireland finals.  #gaillimhabu",136,1,19
"824","beautiful evening swimming and paddle-boarding as night falls in salthill. thank you to richie owens for sending this our way recently.",57,2,3
"825","the 1988 winning galway team: back row, from left to right, brendan lynskey, pete finnerty, michael coleman, anthony cunningham, john commins, tony keady, martin naughton and pat malone. front row, from left to right, michael mcgrath, joe cooney, connor hayes, sylvie linnane, gerry mcinerney, ollie kilkenny and eanna ryan. photo: ray mcmanus / sportsfile",235,1,22
"826","founder and ceo of complete laboratory solutions (cls) evelyn otoole will speak at the upcoming female empower programme launch at the connacht hotel.",7,0,0
"827","ireland play georgia in a world cup qualifying match today. pictured are some supporters who travelled to tbilisi to support the boys in green. photo by david maher/sportsfile",10,0,0
"828","can galway take liam home on sunday? our editor seems to think so!",3,1,0
"829","the late, great tony keady is the focus of ronan scullys thought for the week.",53,1,3
"830","good morning galway and happy saturday! photo: cathy gill.",142,6,9
"831","peek a boo!  thank you to johanna n mhille for sending this pic our way.",26,0,3
"832","the moment everyone was waiting for! 7 september 1980: galway captain joe connolly lifts the liam maccarthy cup after victory over limerick. all ireland hurling final, galway v limerick, croke park, dublin. picture credit: ray mcmanus / sportsfile
good luck to both galway teams tomorrow  #gaillimhabu",81,4,11
"833","baboro international arts festival for children has announced details of its grow programme.",1,0,0
"834","kevin breslin previews the weekends sporting action, including galways clash with waterford on sunday.",1,0,0
"835","the plight of homeless children in galway and across the country has been highlighted in a hard-hitting campaign titled #mynameis.",8,5,1
"836","it's moving day! get your car, van, lorry or horse and cart over to get furnished and take home a bargain! everything must go by 7pm! prices are slashed and no reasonable offer will be refused. there are still devan bed sets, bunk beds, sofas and dining sets available, so don't let them move all that lovely furniture into storage when it could be moved into your house.",3,1,1
"837","diarmuid mulkerrins from the moycullen handball oifigiil lines out for galway in the all-ireland minor softball singles final tomorrow.",6,0,2
"838","the irish fans have arrived in tbilisi ahead of ireland's world cup qualifying match against georgia tomorrow. pictured is republic of ireland supporter barry fitzgerald, from letterkenny, co donegal in tbilisi. photo by david maher/sportsfile",5,0,0
"839","with flags and bunting hanging from homes across the city and county, there is one place where the excitement is palpable and thats in the donoghue household.",134,6,10
"840","as nearly 10,000 children with asthma return to school in galway, the asthma society has warned that every school should have an asthma inhaler in their first aid kit in case of an emergency.",2,0,0
"842","after wowing audiences at this years galway international arts festival, woyzeck in winter is hitting the road.",0,0,0
"844","galway to bear all against waterford on sunday!",69,0,8
"845","galway's lovely waterways. thanks to samus o'donoghue photography for sending this shot our way.",39,0,4
"846","star of the sea is a gripping story of revenge and forgiveness that will, for the first time, bring galways moonfish theatre to the us next month. founder and co-director of moonfish mirad n chrinn chats about the shows upcoming run in galway, and how touring the us will be a dream come true.",4,0,0
"847","a school in salthill has emerged as one of the best performing in the country.",42,6,5
"848","nui galway students' union has reissued their urgent appeal for suitable student accommodation ahead of the start of the academic year.",6,0,2
"849","to celebrate the all ireland hurling final  the grafton barber have an exclusive offer to galwegians. when(!) galway win the match against waterford this sunday, haircuts will be free on monday september 4th  all day. this means every gentleman, student and senior citizen will be catered to  for free. this offer is exclusive to the eyre street store on woodquay, next to mcswiggans pub!",82,20,26
"850","when the final whistle blows on sunday at croke park, a long-term curse on a prestigious hurling nation will finally be lifted, writes martin connolly.",18,6,1
"851","joyces supermarket group has stated that all jobs at nestors supermarkets are safe, after joyces agreed to acquire the assets of the nestors group in galway.",4,0,1
"852","the 50 plus expo are looking for some volunteers to take part in their charity fashion show at 3pm on tuesday 5th and wednesday 6th september in the radisson blu hotel & spa, galway. so if youre male or female, any age, and up for a bit of fun to raise money for charity, get in touch with the team.",1,0,0
"853","legendary flautist sir james galway will perform with the rt concert orchestra at this years clifden arts festival.",2,1,0
"854","conor hayes raises the liam maccarthy cup aloft in croke park in 1988. photo: ray mcmanus/sportsfile",52,0,1
"855","the newly-crowned rose of tralee, a junior doctor at uhgs a&e and a key player with galway wfc, is hoping to use her new-found fame to promote increased participation in sport, particularly among young women.",19,0,0
"856","heading to dublin for the all-ireland final this sunday? visit the hudson rooms at the liffeyvalley shopping centre before the match and get 20% off when you mention the galway independent!",3,0,0
"857","good morning galway. the salmon weir snapped by cathy gill recently.",89,1,9
"858","galway city awash with maroon and white ahead of sundays clash with waterford. photo: oscar riekes.",330,6,74
"859","hurling memories: 4 september 1988: donie o'connell of tipperary in action against gerry mcinerney. also in pic are aidan ryan, tipperary and michael coleman, galway. galway were crowned the winners. photo: ray mcmanus/ sportsfile",19,0,1
"860","a galway woman has said she is being driven to homelessness and beyond as she struggles to secure suitable accommodation in the city.",26,8,9
"861","the m17/m18 motorway will open ahead of schedule at the end of september.",53,2,6
"862","sale on at maloney pianos starting tomorrow! ",1,0,0
"863","a galway woman suffering from lyme disease has been given a glimmer of hope as she prepares to undergo stem cell treatment abroad in a bid to regain her quality of life.",54,5,3
"864","the largest-ever cruise ship to call to galway docked at the port this morning.",249,17,41
"865","as thousands of third level students struggle to secure accommodation, a new website allows students from different cities to swap their rooms for free. we speak to aisling byrne about her new website switching rooms, which she describes as airbnb for students.",2,0,1
"866","the countdown to the all-ireland hurling final is well and truly on with the city and county turning maroon in the lead-up to the big game.",27,0,4
"867","want a spin?  photo: oscar riekes.",22,0,7
"868","good morning galway :)
galway city welcomes the oriana cruise ship on this beautiful sunny morning with 1928 passengers and 794 crew. 
photo by tom taheny.",245,10,23
"869","sunset over galway bay. photo: mark white.",65,4,3
"870","10-week-old madison o'grady from kilbeacanty is getting ready to support galway on sunday.",160,4,0
"871","hurling memories: 7 september 1980: galway supporters on the field celebrating the team's win over limerick in the all ireland hurling final. photo: ray mcmanus / sportsfile",30,1,1
"872","do you live near #galway? do you have a couple of hours available each week? do you have empathy & good communication skills? aware are seeking facilitators for their perinatal support groups. no experience or qualifications needed, full training provided http://bit.ly/2wzudo3",3,0,0
"873","good morning galway. photo thanks to martin o grady.",33,1,7
"874","hurling memories: 9 september 2012: the galway jubilee teams of 1987 and 1988 are honoured in croke park ahead of the all-ireland senior championship final when kilkenny played galway. picture credit: ray mcmanus / sportsfile",79,2,7
"875","galway are on their way to collect the liam mccarthy cup #upgalway  #gaillimhabu",101,5,9
"876","what will supermac's boss pat mcdonagh do with the 3m farm he just bought?",37,17,7
"877","the rahoon/newcastle hurling club are ready for the waterford boys! send us your pics  babies, animals, houses decked in maroon and white - wed love to feature it on our page! photo courtesy of lisa regan public relations.",48,2,8
"878","win! the galway independent has 10 free tickets to giveaway for next weeks 50 plus expo at the radisson blu hotel & spa, galway. each ticket admits two people so simply like this post, comment who you would bring along with you and remember sharing is caring! 
the winner will be announced 10am wednesday. one entry per person.",17,12,10
"879","what do you think of connacht rugby's new away and european kits?",68,15,1
"880","the beauty of connemara. photo: martin o grady.",117,3,20
"881","have some time on your hands and looking to get involved in volunteering? why not get in touch with volunteer galway?",1,0,1
"882","hurling memories: 4 september 1988. galway's conor hayes lifts the liam mccarthy cup at croke park, the last time galway won the all ireland. 
it is now just one week to go to the all ireland hurling final. 
picture credit: ray mcmanus/sportsfile",174,5,24
"883","just one of the fantastic offers available at get furnished this week - this beautiful messina dining set was 2299 now just 999  walnut table with chrome base & 6 walnut, black & chrome chairs. while stocks last! don't miss out, get yourself down to get furnished in terryland retail park.",1,0,0
"884","the junior film fleadh is looking for entries from young filmmakers from the ages of 7 to 18 for their future filmmakers short film programmes.",1,0,0
"885","what do you think of this idea?",0,1,0
"886","no. 29, monivea park, ballybane has come on the market.",0,0,2
"887","william henry continues his look back at the battle of passchendaele in this weeks talking history.",0,0,0
"888","what you looking at?! great pic courtesy of cathy gill.",64,2,3
"889","well, did you watch the fight? photo by stephen mccarthy/sportsfile",2,0,0
"890","beautiful view at cullane, carraroe. photo: patricia mcdonagh.",21,2,2
"891","all up in the air!
7 september 1980: some of the action during the all ireland hurling final, galway v limerick, croke park, dublin. picture credit: ray mcmanus / sportsfile",7,0,1
"892","residential property prices rise by 11.6%.",2,2,0
"893","caroline bourke makeup & styling, who was last week named the best wedding make up artist in ireland by rsvp magazine in their 2017 wedding awards, shares her top tips on getting the best from your make up.",5,0,0
"894","mulling over your cao offer? clodagh higgins has this advice.",0,0,0
"895","our editor gives her advice for the class of 2017. what would yours be?",1,0,0
"896","ronan scully encourages us to be thankful and cherish our true friends in this weeks thought for the week.",4,0,1
"897","the iconic kylemore abbey. photo: martin o grady.",74,4,5
"898","sundown at gentian hill. photo: cathy gill.",30,0,4
"899","don't miss out! visit get furnished this week for the absolute best deals on sofas, dining, mattresses & lots more. all display models must be sold, so no reasonable offers will be refused.
chelsea electric recliner - was 549 - now 399!
douglas wardrobe & 2 lockers - was 489 - now 299!
farnham 3+1+1 suite - was 1999 - now 1299!",1,0,0
"900","kevin breslin previews this weekends sporting action.",1,0,0
"901","hurling memories: 9 september 2012: gerry mcinerney, from the jubilee teams of 1987 and 1988, is introduced to the crowd before the senior match when kilkenny took on galway, croke park, dublin. photo: matt browne / sportsfile",148,0,15
"902","the rsa and esb networks are calling on parents, guardians and teachers to ensure road safety, in particular cycle safety, is on the lesson plan for all children as they return to school in september.",1,0,1
"903","the 1980 galway hurling winning team: 
7 september 1980: back row, left to right: conor hayes, steve mahon, john connolly, michael connolly, frank burke, noel lane, sean silke. front row: left to right, niall mcinerney, seamus coen, jimmy cooney, joe connolly, sylvie linnane, pj molloy, and bernie forde. all ireland hurling championship final, galway v limerick, croke park, dublin. photo: ray mcmanus / sportsfile",147,6,18
"904","the 7th annual tuam trad festival takes place next month.",2,0,0
"905","its the final countdown for #galway cyclists marie boyle, brd naughton, karen cassidy and joanne murphy - galway baybes - who set off on the 2,150km ultra cycling marathon race around ireland this sunday.",25,2,6
"906","handinhandwest childrens cancer charity is going gold for september, childhood cancer awareness month.",1,0,0
"907","lucy and florry are predicting a win for galway! #upgalway #upforthematch",12,0,0
"908","more and more children and young people are struggling every day to cope with bullying, writes helen mortimer, ispcc childline national anti-bullying coordinator.",1,0,0
"909","a total of 2.4 million was paid for public car parking in uhg over the space of three years.",3,3,0
"910","what's the soundest thing someone has ever done for you? #soundeffect is turning up the volume on the power of being sound.",0,0,0
"911","waterford are talking the talk but can they walk the walk? this letter to 'mr liam mccarthy' is gas - give it a read!",55,20,0
"912","gaillimh ab! jamie and harry macgabhann are gearing up for this years all-ireland hurling final. thank you to eilis macgabhann for sending this pic our way!",72,2,4
"913","conor mcgregor's baby conor jr looking dapper ahead of saturday's fight ",68,3,12
"914","sunset rainbow with golden rocks over salthill. photo: chaosheng zhang.",77,1,7
"915","galway kettlebell club took two gold medals and a silver medal at the all ireland kettlebell lifting federation (aiklf) national kettlebell championships at the weekend.",3,0,0
"916","aladdin junior the musical begins today at town hall theatre galway and promises fun for all the family. sean power of twin productions chats about the magical show.",5,1,0
"917","ibec has warned that over 14 per cent of the workforce in the west region could be at risk of losing their jobs as a result of a hard brexit.",2,1,0
"918","tenders are being sought for the flood relief scheme for south galway.",1,1,2
"919","hurling memories: 4 september 1988: tipp forward nicky english is tackled by galway's gerry mcinerney and conor hayes in the all ireland hurling final. photo: ray mcmanus / sportsfile",10,0,1
"920","jessica burke from gort riding castlelawn captain junior winning the 6 year old cruising national championship in the main ring at dublin horse show last week. he is a stallion owned by gabriel slattery and has qualified to represent ireland at the world breeding championships in lanaken, belgium at the end of september. jessica also won the 4 year old championship at dublin riding lux a special lady.",10,0,0
"921","galway simon community have warned that the gap between housing supports and market rent prices are continuing to increase.",3,1,0
"922","rents are continuing to rise in galway city and county.",0,0,0
"923","sky sports presenters jeff stelling and chris kamara have undertaken the ultimate challenge - to commentate live on this years all-ireland football final in croke park.",72,10,6
"924","boat at roundstone in county galway. photo thanks to martin o grady.",89,1,17
"925","the house on the hill. tyrone house, kilcolgan, believed to be home to the st georges, the family who helped establish the galway races. photo: nathan wynne.",26,2,3
"926","the time it takes an bord pleanla to make decisions needs to be urgently reviewed, according to a galway td.",0,0,1
"927","hurling memories: 4 september 1988: pat fox, tipperary in action against ollie kilkenny in the all ireland hurling final, which galway went on to win. ray mcmanus / sportsfile",15,0,1
"928","the wheels have been set in motion for the long-awaited expansion of galway citys public bike scheme, which will be officially rolled out next month.",22,5,2
"929","in its first 24 hours on sale, the fitness mindset became an amazon bestseller. the book, which has held the number one spot in nutrition since its release, reveals the top tips to help improve health in every aspect of life, connemara author brian keane fitness says.",8,2,0
"930","the site of the former shannon dry cleaners on prospect hill looks set to be transformed into a hotel after city planners gave it the green light.",59,28,4
"931","a city councillor has reiterated his warning that galway must be prepared to deal with a potential terrorist attack.",7,11,2
"932","demand has remained strong in nui galway and gmit (official) for career pathways that are synonymous with galway and the west.",6,0,0
"933","a 23-year-old man has died following a single vehicle road traffic collision at shannongrove, banagher.",1,0,0
"934","hurling fever has gripped galway as the scramble for tickets to the all-ireland final begins in earnest. will you be supporting the boys in maroon and white?",154,15,8
"935","good morning and happy galway independent day! inchagoill island, between cong and oughterard, snapped recently by connie anderson.",43,0,2
"936","the winner of the rose of tralee, offaly rose jennifer byrne studied medicine at nui galway and is currently working in the accident and emergency department of university hospital galway. she also plays with galway wfc.",459,21,19
"937","galway rose niamh elwood on stage with daithi.",44,0,2
"938","setting sail photo thanks to oscar riekes.",29,1,3
"939","the countdown to the all ireland hurling final has begun and we are looking for your photos. animals, houses, babies and anything dressed in maroon and white, send them our way. up galway!",46,1,6
"940","hurling memories: 4 september 1988. galway manager cyril farrell is congratulated by supporters after galway's victory over tipperary in the all-ireland hurling final. photo: ray mcmanus/sportsfile.",32,0,2
"941","a property company are looking at bringing in two large scale barges to help deal with the accommodation crisis for students in the city. this is what one looks like. what do you think?",430,243,112
"942","galway winners at comhaltas ceoltir ireann all ireland fleadh cheoil in ennis",61,0,14
"943","congrats to the #galway winners at the sky bar of the year awards, an pucan won the overall peoples choice award and peoples choice award for connacht/ulster.",7,0,0
"944","sunrise reflecting on one of galways most beautiful landmarks. photo: cathy gill.",137,8,17
"945","quay street, photo by donal martyn.",18,1,1
